sequence_number,SG,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,source_10,source_11,source_12,source_13,source_14,source_15,Freq,last_update_days_ago,1st_update_days_ago,Web order,Gender,Address,Kids
1800,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2326,2334,1,1,0,1
1801,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2796,2796,1,0,0,0
1802,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,470,3194,1,0,1,1
1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,967,967,0,0,1,0
1804,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2950,2950,1,0,0,0
1805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1658,2467,1,1,1,1
1806,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2324,2324,0,0,0,0
1807,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,945,945,0,1,0,0
1808,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,721,1484,1,0,0,1
1809,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3354,3355,1,0,0,1
1810,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2456,2576,0,1,0,1
1811,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3069,3069,0,1,1,0
1812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1095,1095,1,0,0,0
1813,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2836,3143,1,1,0,1
1814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2955,2955,1,1,1,1
1815,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3342,3342,0,1,0,1
1816,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,974,974,0,0,0,0
1817,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1653,1653,0,0,0,0
1818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3276,3311,1,0,0,1
1819,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2975,2975,1,0,0,0
1820,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3494,3494,0,1,0,0
1821,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1962,1976,1,0,1,1
1822,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1346,1381,1,0,1,0
1823,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2752,2779,0,0,0,0
1824,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2759,2794,0,1,0,1
1825,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,512,512,0,0,1,0
1826,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3120,3120,0,0,0,0
1827,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,744,825,0,0,1,1
1828,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1646,1682,1,0,1,0
1829,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4005,4005,1,0,0,1
1830,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2656,2656,1,1,0,1
1831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2415,2415,0,0,0,0
1832,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2158,2158,1,0,0,1
1833,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2107,2107,1,1,0,1
1834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,304,304,0,1,0,0
1835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2918,2918,0,0,0,0
1836,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,960,960,0,1,0,1
1837,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2080,2108,0,0,1,0
1838,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3398,3398,0,1,0,1
1839,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2257,2257,1,0,0,1
1840,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3517,3746,1,0,0,0
1841,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2418,2418,1,1,1,1
1842,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,3522,0,1,0,0
1843,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3436,3436,1,1,0,0
1844,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2984,2984,1,0,0,0
1845,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3590,3590,1,1,0,1
1846,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3513,3513,1,1,0,0
1847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,608,608,0,0,0,0
1848,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,841,1191,0,1,1,0
1849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,216,3660,0,1,0,1
1850,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3159,3159,0,1,1,0
1851,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,868,2739,0,0,0,0
1852,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,0,1,0,1
1853,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3662,3691,1,0,0,1
1854,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3662,3662,0,0,0,0
1855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1123,1135,0,1,0,1
1856,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3548,3548,1,1,1,1
1857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3694,0,1,0,0
1858,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1710,1750,0,0,1,0
1859,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2172,2172,0,1,0,0
1860,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,896,896,0,1,0,0
1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1073,1073,1,0,0,1
1862,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3587,3746,1,1,0,1
1863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,3507,1,1,0,0
1864,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2775,2775,0,1,0,1
1865,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2143,2897,1,0,1,1
1866,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,3680,0,0,0,0
1867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1170,3405,1,0,0,1
1868,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1842,1871,0,1,1,0
1869,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,239,560,1,1,0,1
1870,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2765,2765,0,0,0,0
1871,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,0,0,0
1872,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1392,1408,1,1,0,1
1873,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,532,3746,1,1,1,0
1874,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1962,1962,1,0,0,0
1875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3340,3342,0,0,0,1
1876,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3019,3019,1,1,0,1
1877,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2767,2767,1,0,0,0
1878,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3500,1,1,0,0
1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1052,1052,1,1,1,0
1880,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2422,2422,1,1,0,0
1881,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1646,1717,0,0,1,1
1882,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,3522,0,1,0,0
1883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1739,1849,0,0,1,1
1884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,15,0,1,0,0
1885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,479,0,0,0,1
1886,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2128,2128,0,0,0,0
1887,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2509,2509,0,1,0,0
1888,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3312,3312,0,0,0,1
1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1052,1052,0,0,0,0
1890,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77,77,0,0,0,0
1891,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2492,2492,0,1,1,0
1892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2859,2859,0,0,0,0
1893,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1226,1240,0,0,1,1
1894,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,668,1926,1,1,0,1
1895,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1673,1673,0,1,0,0
1896,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3047,3047,0,1,1,0
1897,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2744,2744,0,0,0,0
1898,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3276,3340,0,0,0,1
1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,3507,0,0,0,0
1900,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3215,3684,0,1,0,1
1901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,834,3011,0,1,1,1
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1135,1387,0,0,0,1
1903,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2766,2766,0,0,0,0
1904,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,1,0,0
1905,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,3522,0,1,0,0
1906,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1123,1226,0,0,1,1
1907,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,598,3251,0,1,1,1
1908,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2380,2404,1,1,0,1
1909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,532,532,0,0,1,0
1910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4036,4036,1,0,0,1
1911,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,841,2088,0,0,1,1
1912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1561,1561,1,1,0,0
1913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1261,1879,1,0,0,0
1914,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192,192,1,1,0,0
1915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,465,3791,1,1,0,1
1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1003,1003,1,1,1,0
1917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1752,1774,0,0,1,0
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394,3394,0,1,0,0
1919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2746,2837,0,1,0,0
1920,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2296,2564,1,0,0,1
1921,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,216,0,1,0,0
1922,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3660,3660,0,1,0,1
1923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3222,3436,1,1,0,1
1924,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2681,2681,1,1,0,0
1925,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,1,1,0,0
1926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,714,714,0,1,0,1
1927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2583,2583,0,0,0,0
1928,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2296,2466,0,1,0,1
1929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1639,2737,1,0,0,1
1930,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2960,3194,0,1,1,1
1931,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3746,3746,0,1,0,0
1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,359,359,0,0,0,1
1933,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3619,3619,1,1,0,0
1934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2848,2848,0,1,1,0
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,519,1066,0,0,0,1
1936,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2705,2705,0,1,1,0
1937,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3716,3716,0,1,0,0
1938,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3655,3655,1,1,0,0
1939,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,216,216,0,0,1,0
1940,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3914,3914,1,1,0,1
1941,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1570,2369,1,1,0,1
1942,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3384,3384,0,0,0,0
1943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,280,280,1,1,0,0
1944,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1710,1746,0,0,1,0
1945,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,3522,1,1,0,0
1946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1073,1080,0,1,0,1
1947,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3032,3032,0,1,0,0
1948,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3369,3369,0,1,0,0
1949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1564,1564,1,1,0,1
1950,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3243,3243,0,1,0,1
1951,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1000,3174,0,0,0,1
1952,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2809,2809,0,0,0,0
1953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2186,2186,0,1,0,0
1954,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1899,2345,1,0,0,1
1955,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1766,1766,0,1,0,1
1956,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3604,3604,0,1,0,0
1957,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1288,2317,0,1,0,1
1958,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,491,2984,1,0,1,1
1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2012,2046,0,0,1,1
1960,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2607,2607,1,1,1,0
1961,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1288,2073,1,1,0,1
1962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,962,962,0,1,0,1
1963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1464,1464,1,1,0,0
1964,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1919,1919,1,1,0,1
1965,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3157,3157,0,0,1,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2165,2310,1,0,0,1
1967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,216,0,1,1,0
1968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3453,3453,1,0,0,0
1969,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2837,3272,0,0,1,1
1970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1233,1246,0,1,0,1
1971,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3159,3159,0,1,0,0
1972,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3541,3541,1,0,1,1
1973,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,939,1746,0,0,0,1
1974,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1135,1408,1,1,0,1
1975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1708,1708,0,0,0,1
1976,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,778,2219,0,1,0,1
1977,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3791,3791,1,0,1,1
1978,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3678,3678,0,1,0,0
1979,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3020,3020,1,1,0,0
1980,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1710,3747,0,0,1,0
1981,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3340,3340,1,1,0,1
1982,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3381,3381,1,0,0,0
1983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2620,2620,1,0,0,0
1984,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3772,3772,0,1,0,0
1985,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2044,2074,0,0,1,0
1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,659,659,1,1,0,1
1987,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1710,2982,0,0,1,1
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,695,695,1,0,0,1
1989,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3299,3299,1,1,0,1
1990,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3436,3436,0,1,0,1
1991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1415,2431,1,1,1,1
1992,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2807,2807,0,1,0,1
1993,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2466,3747,0,1,0,1
1994,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3746,3746,1,0,0,0
1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1136,1400,0,1,0,1
1996,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1701,1701,1,0,0,1
1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2633,2633,1,1,0,1
1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394,3394,0,0,0,0
1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,253,253,0,1,1,0
2000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1261,1844,0,0,0,0
